Name,Forward,Revearse,Type
SRR5226318,SRR5226318_1.fastq,SRR5226318_2.fastq,E2_1
SRR5226324,SRR5226324_1.fastq,SRR5226324_2.fastq,E2_1
SRR5226325,SRR5226325_1.fastq,SRR5226325_2.fastq,E2_1
SRR5226328,SRR5226328_1.fastq,SRR5226328_2.fastq,E2_1
SRR5226329,SRR5226330_1.fastq,SRR5226331_2.fastq,E2_1
SRR5226331,SRR5226332_1.fastq,SRR5226333_2.fastq,E2_1
SRR5226334,SRR5226334_1.fastq,SRR5226334_2.fastq,E2_1
SRR5226340,SRR5226340_1.fastq,SRR5226340_2.fastq,E2_1
SRR5226346,SRR5226346_1.fastq,SRR5226346_2.fastq,E2_1
SRR5226349,SRR5226349_1.fastq,SRR5226349_2.fastq,E2_1
SRR5226350,SRR5226350_1.fastq,SRR5226350_2.fastq,E2_1
SRR5226358,SRR5226358_1.fastq,SRR5226358_2.fastq,E2_1
SRR5226369,SRR5226369_1.fastq,SRR5226369_2.fastq,E2_1
SRR5226373,SRR5226373_1.fastq,SRR5226373_2.fastq,E2_1
SRR5226379,SRR5226380_1.fastq,SRR5226381_2.fastq,E2_1
SRR5226380,SRR5226381_1.fastq,SRR5226382_2.fastq,E2_1
SRR5226387,SRR5226388_1.fastq,SRR5226389_2.fastq,E2_1
SRR5226400,SRR5226400_1.fastq,SRR5226400_2.fastq,E2_1
SRR5226403,SRR5226403_1.fastq,SRR5226403_2.fastq,E2_1
SRR5226404,SRR5226404_1.fastq,SRR5226404_2.fastq,E2_1
SRR5226418,SRR5226418_1.fastq,SRR5226418_2.fastq,E2_1
SRR5226434,SRR5226434_1.fastq,SRR5226434_2.fastq,E2_1
SRR5226435,SRR5226435_1.fastq,SRR5226435_2.fastq,E2_1
SRR5226459,SRR5226459_1.fastq,SRR5226459_2.fastq,E2_1
SRR5226462,SRR5226462_1.fastq,SRR5226462_2.fastq,E2_1
SRR5226466,SRR5226466_1.fastq,SRR5226466_2.fastq,E2_1
SRR5226467,SRR5226467_1.fastq,SRR5226467_2.fastq,E2_1
SRR5226469,SRR5226469_1.fastq,SRR5226469_2.fastq,E2_1
SRR5226475,SRR5226475_1.fastq,SRR5226475_2.fastq,E2_1
SRR5226478,SRR5226478_1.fastq,SRR5226478_2.fastq,E2_1
SRR5226480,SRR5226480_1.fastq,SRR5226480_2.fastq,E2_1
SRR5226486,SRR5226486_1.fastq,SRR5226486_2.fastq,E2_1
SRR5226489,SRR5226489_1.fastq,SRR5226489_2.fastq,E2_1
SRR5226490,SRR5226490_1.fastq,SRR5226490_2.fastq,E2_1
SRR5226492,SRR5226492_1.fastq,SRR5226492_2.fastq,E2_1
SRR5226493,SRR5226493_1.fastq,SRR5226493_2.fastq,E2_1
SRR5226496,SRR5226496_1.fastq,SRR5226496_2.fastq,E2_1
SRR5226502,SRR5226502_1.fastq,SRR5226502_2.fastq,E2_1
SRR5226504,SRR5226504_1.fastq,SRR5226504_2.fastq,E2_1
SRR5226507,SRR5226507_1.fastq,SRR5226507_2.fastq,E2_1
SRR5226508,SRR5226508_1.fastq,SRR5226508_2.fastq,E2_1
SRR5226509,SRR5226509_1.fastq,SRR5226509_2.fastq,E2_1
SRR5226520,SRR5226520_1.fastq,SRR5226520_2.fastq,E2_1
SRR5226521,SRR5226521_1.fastq,SRR5226521_2.fastq,E2_1
SRR5226523,SRR5226523_1.fastq,SRR5226523_2.fastq,E2_1
SRR5226528,SRR5226528_1.fastq,SRR5226528_2.fastq,E2_1
SRR5226531,SRR5226531_1.fastq,SRR5226531_2.fastq,E2_1
SRR5226538,SRR5226538_1.fastq,SRR5226538_2.fastq,E2_1
SRR5226540,SRR5226540_1.fastq,SRR5226540_2.fastq,E2_1
SRR5226543,SRR5226543_1.fastq,SRR5226543_2.fastq,E2_1
SRR5226548,SRR5226548_1.fastq,SRR5226548_2.fastq,E2_1
SRR5226549,SRR5226549_1.fastq,SRR5226549_2.fastq,E2_1
SRR5226551,SRR5226551_1.fastq,SRR5226551_2.fastq,E2_1
SRR5226558,SRR5226558_1.fastq,SRR5226558_2.fastq,E2_1
SRR5226559,SRR5226559_1.fastq,SRR5226559_2.fastq,E2_1
SRR5226562,SRR5226562_1.fastq,SRR5226562_2.fastq,E2_1
SRR5226571,SRR5226571_1.fastq,SRR5226571_2.fastq,E2_1
SRR5226582,SRR5226582_1.fastq,SRR5226582_2.fastq,E2_1
